Project	Version	TQI	Functional_Suitability	Performance_Efficiency	Compatibility	Usability	Reliability	Security	Maintainability	Portability	Bad_Function	Comprehensibility	Redundancy	Structurdness	Assignment	Resource_Handling	Cohesion	Coupling	Complexity	Messaging	Encapsulation	Pattern_Structural_Integrity	Pattern_Behavioral_Integrity	Pattern_Instability	Pattern_Structural_Aberrations	Pattern_Behavioral_Aberrations	
guava	9	0.8080240507788538	0.8059562543796652	0.8153191082748285	0.800046635335785	0.829795005071028	0.8261563567849297	0.7806758510848569	0.8026010880071421	0.7978932726277499	1.0	1.0	1.0	1.0	1.0	1.0	0.6804876452180921	0.45499034149355483	0.6163165887668698	0.6780524555298972	0.767795550338421	1.0	0.8405797101449275	0.5748597475455819	1.0	0.471025	
hystrix	0	0.6753295939490751	0.704285196317839	0.7033357714738073	0.6504761485205323	0.6797670030374898	0.7312118776955074	0.6740754402424775	0.6155047506203847	0.6422586967824805	1.0	1.0	1.0	1.0	1.0	1.0	0.8285058754159418	0.7164117540946079	0.8700701275136729	0.8951756155291903	0.1274291175533609	0.46354166666666674	0.0	0.6008064516129032	0.8958333333333334	0.0625	
hystrix	10	0.6548712203433065	0.6711374983145652	0.6740117729137626	0.6310996532498837	0.676692374511604	0.7089674408753784	0.6395360176129777	0.5995705803273195	0.6341242657478624	1.0	1.0	1.0	1.0	1.0	1.0	0.7102129322427111	0.38053836413078534	0.6814934103311132	0.7410372573268895	0.5500564853125913	0.36312500000000003	0.0	0.5720046082949308	1.0	0.14287499999999997	
hystrix	11	0.6563037737649825	0.6723959635308195	0.6753226880059634	0.6328903576265063	0.6780111983945886	0.710330527284285	0.6412734296925321	0.6008409996878157	0.6359969204848881	1.0	1.0	1.0	1.0	1.0	1.0	0.716259831790443	0.385866668477283	0.6852465642554345	0.7439493698530357	0.5568991301382521	0.36312500000000003	0.0	0.5720046082949308	1.0	0.14287499999999997	
hystrix	12	0.6561740736661026	0.6720673243781632	0.6750456455241333	0.6327114772846715	0.6779426379083698	0.7101969448802344	0.6410448801290828	0.6009728890758823	0.6359837126316438	1.0	1.0	1.0	1.0	1.0	1.0	0.7131844852152557	0.3875216849595497	0.68408254580071	0.7397967545345838	0.5619937594327982	0.36312500000000003	0.0	0.5720046082949308	1.0	0.14287499999999997	
hystrix	13	0.6831033113593462	0.702216814171886	0.7015008622972734	0.6546284696693231	0.7003322029900587	0.7343672373347115	0.6690638746064751	0.6331477548820929	0.6597861358227664	1.0	1.0	1.0	1.0	1.0	1.0	0.7117896310646759	0.42558536659888174	0.7188659750798914	0.7543558572398632	0.5388437193174296	0.378125	0.0	0.6564516129032257	1.0	0.35	
hystrix	14	0.6839438831593028	0.7030202786659142	0.702402100411139	0.6556535350873461	0.7009122575625157	0.7352577342625303	0.6701516785938451	0.6339628144323681	0.6607624949360089	1.0	1.0	1.0	1.0	1.0	1.0	0.7188590900274597	0.4301362375619146	0.7216390651253779	0.7544378101253557	0.5403031750668013	0.378125	0.0	0.6564516129032257	1.0	0.35	
hystrix	15	0.6782074864031166	0.6980527732316054	0.6934730596650182	0.6439856604187002	0.6994258244729095	0.7269272497854873	0.6593663885699674	0.6319939567157008	0.6524204649160821	1.0	1.0	1.0	1.0	1.0	1.0	0.5323134158249105	0.4172355962642459	0.6802207428371803	0.746808177347829	0.534180647435488	0.39104166666666673	0.0	0.6466973886328724	1.0	0.428575	
hystrix	16	0.6771153246947115	0.6969838639489873	0.6922790974334092	0.6425287780087983	0.6984856232981547	0.7258831456832638	0.6579819647137772	0.6311662023451179	0.6510831653668882	1.0	1.0	1.0	1.0	1.0	1.0	0.5240468072828173	0.4144619583852471	0.6778714584080539	0.7426263853105006	0.5321662946214156	0.39104166666666673	0.0	0.6466973886328724	1.0	0.428575	
hystrix	17	0.6771153246947115	0.6969838639489873	0.6922790974334092	0.6425287780087983	0.6984856232981547	0.7258831456832638	0.6579819647137772	0.6311662023451179	0.6510831653668882	1.0	1.0	1.0	1.0	1.0	1.0	0.5240468072828173	0.4144619583852471	0.6778714584080539	0.7426263853105006	0.5321662946214156	0.39104166666666673	0.0	0.6466973886328724	1.0	0.428575	
